batch,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,timestamp,latitude,longitude,accuracy,date_time,anomaly,speed_level
1,0.03,1.14,9.41,0.16,0.07,0.02,0,1488,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.34,0.43,7.84,0.08,0.03,0,0,1512,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.52,0.3,10.03,0.07,0.02,0,0,1536,0,0,99.989998,07/19/2025 14:42:18:1.770893,smooth,AVERAGE
1,-1.26,0.55,10.93,0.19,0.09,0.01,0,1560,0,0,99.989998,07/19/2025 14:42:18:1.770893,smooth,AVERAGE
1,1.89,0.84,9.2,0,-0.04,-0.02,0,1584,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-0.04,-0.52,9.47,0.01,0.01,0,0,1608,0,0,99.989998,07/19/2025 14:42:18:0.000000,smooth,AVERAGE
1,0.78,0.28,9.15,-0.04,-0.01,0,0,1632,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,1.36,-0.2,7.09,-0.06,-0.07,-0.01,0,1656,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-0.32,0.38,9.32,0.01,-0.02,0.01,0,1680,0,0,99.989998,07/19/2025 14:42:18:0.000000,smooth,AVERAGE
1,0.52,0.33,8.85,0.05,-0.04,0.01,0,1704,0,0,99.989998,07/19/2025 14:42:18:0.000000,smooth,AVERAGE
1,-0.29,0.46,9.02,0.12,0.04,0.03,0,1728,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,1.01,1.29,9.49,0.04,-0.05,0.02,0,1752,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-1.22,0.19,10.47,0.03,-0.03,0.01,0,1776,0,0,99.989998,07/19/2025 14:42:18:0.000000,smooth,AVERAGE
1,-0.06,0.65,9.35,0.05,-0.08,0.02,0,1800,0,0,99.989998,07/19/2025 14:42:19:-0.000000,smooth,AVERAGE
1,-0.64,-0.03,11.19,0.15,0.11,0.02,0,1824,0,0,99.989998,07/19/2025 14:42:19:-0.000000,smooth,AVERAGE
