id,batch_id,speed,latitude,longitude,accuracy,timestamp,log_interval,acc_x_corrected,acc_y_corrected,acc_z_corrected,rot_x_corrected,rot_y_corrected,rot_z_corrected,batch,acc_x_global,acc_y_global,acc_z_global
4216,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.636828,74,0.65,-0.55,10.01,-0.0,0.02,0.01,inference,0.40823664045013514,-0.27715802360860575,10.034023434063894
4217,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.661946,75,0.68,-0.55,10.01,0.01,0.02,0.01,inference,0.4346989359187375,-0.2743185651011759,10.03497813450293
4218,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.683987,76,0.64,-0.53,9.99,0.01,0.02,0.01,inference,0.39158339909707046,-0.25251249804165904,10.01366565648586
4219,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.706599,77,0.66,-0.57,10.01,-0.0,0.02,0.01,inference,0.40801667810823217,-0.2878887730523082,10.035499112886015
4220,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.732862,78,0.63,-0.56,9.99,0.01,0.02,0.01,inference,0.3752127577016849,-0.27568939314522967,10.014679762476938
4221,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.757013,79,0.66,-0.55,9.95,0.01,0.02,0.01,inference,0.4027205011698553,-0.2638803389711797,9.975408932201324
4222,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.783599,80,0.65,-0.56,9.98,0.01,0.02,0.01,inference,0.38865861426704473,-0.27025992341065846,10.005618624320745
4223,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.807642,81,0.65,-0.54,9.98,0.01,0.02,0.01,inference,0.38502420858033515,-0.2476165545559123,10.005245744144267
4224,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.827542,82,0.65,-0.55,10.0,-0.0,0.02,0.01,inference,0.3811203867644166,-0.25328511029791545,10.025746550940429
4225,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.851634,83,0.65,-0.53,10.01,-0.0,0.02,0.01,inference,0.37710832186591947,-0.22947009864771356,10.035369090741312
4226,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.899126,84,0.65,-0.54,9.98,-0.0,0.02,0.01,inference,0.3744977158718994,-0.23672999137830347,10.005908772919566
4227,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.925724,85,0.66,-0.52,10.0,0.01,0.02,0.01,inference,0.38008066966867776,-0.21373584418319258,10.025759605808206
4228,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.948335,86,0.66,-0.53,9.98,-0.0,0.02,0.01,inference,0.3770921875653246,-0.2209020341587945,10.00629320844546
4229,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.973055,87,0.66,-0.52,10.0,0.01,0.02,0.01,inference,0.3727298229629189,-0.20799634930704214,10.02615629230609
4230,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:21.000592,88,0.67,-0.55,10.01,0.01,0.02,0.01,inference,0.3791193223742866,-0.23501628253168,10.037556270644139
4231,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:21.024228,89,0.65,-0.54,10.02,0.01,0.02,0.01,inference,0.35520973175546516,-0.222297784590949,10.046835807428733
4232,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:21.048858,90,0.66,-0.56,9.97,-0.0,0.02,0.01,inference,0.3634207332284216,-0.24002205722518027,9.9980205432228
4233,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:21.079266,91,0.64,-0.54,9.99,-0.0,0.02,0.01,inference,0.339155017934232,-0.21594515017233656,10.016967683182727
4234,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:21.108158,92,0.65,-0.56,10.0,-0.0,0.02,0.01,inference,0.34558843914702,-0.23174453430974784,10.028108650266287
4235,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:21.139495,93,0.66,-0.52,10.01,-0.0,0.02,0.01,inference,0.3511686503951057,-0.18812954684989064,10.03729982876778
4236,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:21.167256,94,0.67,-0.52,9.97,-0.0,0.02,0.01,inference,0.35861906442080005,-0.18619992327578322,9.997845865745585
4237,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:21.205162,95,0.66,-0.54,10.0,0.01,0.02,0.01,inference,0.3442188732958664,-0.20285935762002655,10.028337920527655
4238,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:21.235253,96,0.66,-0.54,10.01,-0.0,0.02,0.01,inference,0.340253903052619,-0.19908880114140204,10.038520355645925
4239,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:21.262456,97,0.66,-0.54,9.99,-0.0,0.02,0.01,inference,0.33725659028871335,-0.1963352698401311,10.018732976485783
4240,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:21.291950,98,0.66,-0.54,9.97,-0.0,0.02,0.01,inference,0.33426673996812023,-0.19360746256074868,9.998944039096923
4241,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:21.318113,99,0.67,-0.55,9.99,0.01,0.02,0.01,inference,0.3400645673347035,-0.20038007493220045,10.019765661711538
4242,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:21.347464,100,0.66,-0.53,10.0,-0.0,0.02,0.01,inference,0.3258098545875558,-0.17689777006336216,10.028910963688942
4243,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:30.800975,101,0.66,-0.51,10.0,-0.0,0.02,0.01,inference,0.3217258164921693,-0.15395844298628525,10.028384181753095
4244,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:30.829818,102,0.66,-0.53,9.99,-0.0,0.02,0.01,inference,0.31849460990715084,-0.17106928963883217,10.019276245398293
4245,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:30.858699,103,0.65,-0.56,9.99,-0.0,0.02,0.01,inference,0.3052993646530268,-0.19746623671523028,10.020179608335368
4246,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:30.885607,104,0.66,-0.54,9.99,-0.0,0.02,0.01,inference,0.31140514929248964,-0.1740516750076901,10.019981678996285
4247,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:30.915291,105,0.66,-0.54,9.98,-0.0,0.02,0.01,inference,0.30805233143864696,-0.17110594002157598,10.010166158380418
4248,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:30.946421,106,0.67,-0.55,10.0,-0.0,0.02,0.01,inference,0.31373313214899323,-0.17691759818078878,10.031035424383964
4249,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:30.976381,107,0.66,-0.54,10.03,-0.0,0.02,0.01,inference,0.2988095090689122,-0.16266491004133438,10.060435030570558
4250,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.007429,108,0.66,-0.51,10.02,-0.0,0.02,0.01,inference,0.29489127030341883,-0.1302780141122844,10.049485896190802
4251,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.037588,109,0.65,-0.52,10.0,-0.0,0.02,0.01,inference,0.2818599066939348,-0.1381133625038768,10.029674954458711
4252,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.064638,110,0.65,-0.54,10.01,0.01,0.02,0.01,inference,0.27797844875128913,-0.15540992537249437,10.040556545188396
4253,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.088775,111,0.64,-0.53,9.99,-0.0,0.02,0.01,inference,0.2648936649330914,-0.1430428047875425,10.019978547994842
4254,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.112917,112,0.65,-0.54,10.0,-0.0,0.02,0.01,inference,0.27088197257158886,-0.14924784371619876,10.030874739427356
4255,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.136365,113,0.67,-0.55,10.0,-0.0,0.02,0.01,inference,0.28722175644837816,-0.155754171420032,10.0321804360123
4256,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.164002,114,0.68,-0.54,9.96,0.01,0.02,0.01,inference,0.29481747074174053,-0.1451902664947276,9.99237721693195
4257,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.187279,115,0.66,-0.56,10.01,-0.0,0.02,0.01,inference,0.26946069696872976,-0.15998368990963757,10.042464645282653
4258,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.211757,116,0.65,-0.55,9.98,-0.0,0.02,0.01,inference,0.2569001501598644,-0.14788714089644683,10.011869541020067
4259,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.236509,117,0.66,-0.55,10.0,-0.0,0.02,0.01,inference,0.26236387864122623,-0.14369704141140605,10.032378399735226
4260,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.258032,118,0.65,-0.53,10.02,-0.0,0.02,0.01,inference,0.24746900845298703,-0.12004195327492867,10.05127598960994
4261,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.283256,119,0.67,-0.54,9.99,0.01,0.02,0.01,inference,0.26490616087731544,-0.1290138264127954,10.022663326607534
4262,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.312293,120,0.66,-0.54,10.0,-0.0,0.02,0.01,inference,0.25066174330280544,-0.12566357418503488,10.032376456082947
4263,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.337987,121,0.67,-0.55,9.98,-0.0,0.02,0.01,inference,0.25779022626772835,-0.13320649087646208,10.013371072222844
4264,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.359390,122,0.64,-0.55,9.99,0.01,0.02,0.01,inference,0.22376988600082565,-0.1307492913360348,10.022226881334026
4265,0,0.895133,7.297506,5.13279,0.88,2025-06-27 13:04:31.381513,123,0.68,-0.54,9.98,-0.0,0.02,0.01,inference,0.2600972759691297,-0.11783815308769863,10.013633884694926
