id,batch_id,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,latitude,longitude,accuracy,timestamp,log_interval,anomaly
4886,71,-0.02,-0.53,9.59,-0.04,0.07,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1783,road-patch
4887,71,-1.05,-0.47,10.61,0.0,0.07,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1787,road-patch
4888,71,-1.48,-0.1,10.41,0.02,0.09,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1791,road-patch
4889,71,-0.58,0.02,9.03,-0.01,0.04,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1795,road-patch
4890,71,-0.55,0.15,9.01,-0.01,0.05,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1799,road-patch
4891,71,-0.31,-0.03,8.05,-0.02,0.07,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1803,road-patch
4892,71,-0.27,-0.09,8.1,-0.03,0.1,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1807,road-patch
4893,71,-0.45,-0.34,9.15,-0.03,0.27,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1811,road-patch
4894,71,-1.98,-0.49,10.73,-0.08,-0.04,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1815,road-patch
4895,71,-1.64,-0.06,10.96,-0.02,0.2,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1820,road-patch
4896,71,0.03,-0.83,8.52,-0.08,-0.01,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1824,road-patch
4897,71,-2.02,-0.63,11.25,-0.03,0.05,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1829,road-patch
4898,71,-1.35,-0.33,10.93,-0.01,0.18,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1833,road-patch
4899,71,-1.07,-0.69,10.6,-0.05,0.08,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1838,road-patch
4900,71,-1.27,-0.59,11.2,-0.01,0.04,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1842,road-patch
4901,71,-0.82,-0.4,10.08,-0.03,0.04,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1847,road-patch
4902,71,-1.38,-0.23,10.17,-0.01,0.06,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1851,road-patch
4903,71,-0.96,0.25,10.03,0.03,0.07,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1856,road-patch
4904,71,-1.45,0.19,10.52,-0.03,0.09,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1860,road-patch
4905,71,-1.56,0.0,11.44,-0.02,0.07,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1865,road-patch
4906,71,-1.09,-0.07,11.24,-0.03,0.05,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1869,road-patch
4907,71,-1.74,-0.31,11.57,-0.04,0.02,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1874,road-patch
4908,71,-1.12,-0.08,11.03,0.0,0.0,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1878,road-patch
4909,71,-0.86,-0.14,10.59,-0.02,0.04,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1883,road-patch
4910,71,-1.1,-0.34,11.24,-0.01,0.04,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1887,road-patch
4911,71,-1.02,-0.32,11.54,-0.02,0.0,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1892,road-patch
4912,71,-1.23,-0.56,11.41,-0.03,0.02,0.03,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1896,road-patch
